,Date,Value
12,1959-03-01,316.65
14,1959-04-01,317.72
16,1959-05-01,318.29
18,1959-06-01,318.15
20,1959-07-01,316.54
22,1959-08-01,314.8
24,1959-09-01,313.84
26,1959-10-01,313.33
28,1959-11-01,314.81
30,1959-12-01,315.58
32,1960-01-01,316.43
34,1960-02-01,316.98
36,1960-03-01,317.58
38,1960-04-01,319.03
40,1960-05-01,320.03
42,1960-06-01,319.58
44,1960-07-01,318.18
46,1960-08-01,315.9
48,1960-09-01,314.17
50,1960-10-01,313.83
52,1960-11-01,315.0
54,1960-12-01,316.19
56,1961-01-01,316.89
58,1961-02-01,317.7
60,1961-03-01,318.54
62,1961-04-01,319.48
64,1961-05-01,320.58
66,1961-06-01,319.77
68,1961-07-01,318.56
70,1961-08-01,316.79
72,1961-09-01,314.99
74,1961-10-01,315.31
76,1961-11-01,316.1
78,1961-12-01,317.01
80,1962-01-01,317.94
82,1962-02-01,318.55
84,1962-03-01,319.68
86,1962-04-01,320.57
88,1962-05-01,321.02
90,1962-06-01,320.62
92,1962-07-01,319.61
94,1962-08-01,317.4
96,1962-09-01,316.24
98,1962-10-01,315.42
100,1962-11-01,316.69
102,1962-12-01,317.7
104,1963-01-01,318.74
106,1963-02-01,319.07
108,1963-03-01,319.86
110,1963-04-01,321.38
112,1963-05-01,322.24
114,1963-06-01,321.49
116,1963-07-01,319.74
118,1963-08-01,317.77
120,1963-09-01,316.21
122,1963-10-01,315.99
124,1963-11-01,317.07
126,1963-12-01,318.35
128,1964-01-01,319.57
130,1964-02-01,320.04
132,1964-03-01,320.75
134,1964-04-01,321.84
136,1964-05-01,322.25
138,1964-06-01,321.89
140,1964-07-01,320.44
142,1964-08-01,318.69
144,1964-09-01,316.71
146,1964-10-01,316.87
148,1964-11-01,317.68
150,1964-12-01,318.71
152,1965-01-01,319.44
154,1965-02-01,320.44
156,1965-03-01,320.89
158,1965-04-01,322.14
160,1965-05-01,322.17
162,1965-06-01,321.87
164,1965-07-01,321.21
166,1965-08-01,318.87
168,1965-09-01,317.82
170,1965-10-01,317.3
172,1965-11-01,318.87
174,1965-12-01,319.42
176,1966-01-01,320.62
178,1966-02-01,321.6
180,1966-03-01,322.39
182,1966-04-01,323.7
184,1966-05-01,324.08
186,1966-06-01,323.75
188,1966-07-01,322.37
190,1966-08-01,320.36
192,1966-09-01,318.64
194,1966-10-01,318.1
196,1966-11-01,319.78
198,1966-12-01,321.02
200,1967-01-01,322.33
202,1967-02-01,322.5
204,1967-03-01,323.03
206,1967-04-01,324.41
208,1967-05-01,325.0
210,1967-06-01,324.09
212,1967-07-01,322.54
214,1967-08-01,320.92
216,1967-09-01,319.25
218,1967-10-01,319.39
220,1967-11-01,320.73
222,1967-12-01,321.96
224,1968-01-01,322.57
226,1968-02-01,323.15
228,1968-03-01,323.89
230,1968-04-01,325.02
232,1968-05-01,325.57
234,1968-06-01,325.36
236,1968-07-01,324.14
238,1968-08-01,322.11
240,1968-09-01,320.33
242,1968-10-01,320.25
244,1968-11-01,321.32
246,1968-12-01,322.89
248,1969-01-01,324.0
250,1969-02-01,324.41
252,1969-03-01,325.63
254,1969-04-01,326.66
256,1969-05-01,327.38
258,1969-06-01,326.71
260,1969-07-01,325.88
262,1969-08-01,323.66
264,1969-09-01,322.38
266,1969-10-01,321.78
268,1969-11-01,322.85
270,1969-12-01,324.11
272,1970-01-01,325.06
274,1970-02-01,325.99
276,1970-03-01,326.93
278,1970-04-01,328.13
280,1970-05-01,328.08
282,1970-06-01,327.67
284,1970-07-01,326.34
286,1970-08-01,324.68
288,1970-09-01,323.1
290,1970-10-01,323.06
292,1970-11-01,324.01
294,1970-12-01,325.13
296,1971-01-01,326.17
298,1971-02-01,326.69
300,1971-03-01,327.18
302,1971-04-01,327.78
304,1971-05-01,328.93
306,1971-06-01,328.57
308,1971-07-01,327.36
310,1971-08-01,325.43
312,1971-09-01,323.36
314,1971-10-01,323.56
316,1971-11-01,324.8
318,1971-12-01,326.01
320,1972-01-01,326.77
322,1972-02-01,327.63
324,1972-03-01,327.75
326,1972-04-01,329.72
328,1972-05-01,330.07
330,1972-06-01,329.09
332,1972-07-01,328.04
334,1972-08-01,326.32
336,1972-09-01,324.84
338,1972-10-01,325.2
340,1972-11-01,326.5
342,1972-12-01,327.55
344,1973-01-01,328.55
346,1973-02-01,329.57
348,1973-03-01,330.3
350,1973-04-01,331.5
352,1973-05-01,332.48
354,1973-06-01,332.07
356,1973-07-01,330.87
358,1973-08-01,329.31
360,1973-09-01,327.52
362,1973-10-01,327.19
364,1973-11-01,328.17
366,1973-12-01,328.65
368,1974-01-01,329.36
370,1974-02-01,330.71
372,1974-03-01,331.49
374,1974-04-01,332.65
376,1974-05-01,333.19
378,1974-06-01,332.2
380,1974-07-01,331.07
382,1974-08-01,329.15
384,1974-09-01,327.33
386,1974-10-01,327.28
388,1974-11-01,328.31
390,1974-12-01,329.58
392,1975-01-01,330.73
394,1975-02-01,331.46
396,1975-03-01,331.94
398,1975-04-01,333.11
400,1975-05-01,333.95
402,1975-06-01,333.42
404,1975-07-01,331.97
406,1975-08-01,329.95
408,1975-09-01,328.49
410,1975-10-01,328.36
412,1975-11-01,329.38
414,1975-12-01,330.76
416,1976-01-01,331.56
418,1976-02-01,332.74
420,1976-03-01,333.36
422,1976-04-01,334.74
424,1976-05-01,334.72
426,1976-06-01,333.97
428,1976-07-01,333.08
430,1976-08-01,330.68
432,1976-09-01,328.96
434,1976-10-01,328.72
436,1976-11-01,330.16
438,1976-12-01,331.62
440,1977-01-01,332.68
442,1977-02-01,333.17
444,1977-03-01,334.96
446,1977-04-01,336.14
448,1977-05-01,336.93
450,1977-06-01,336.17
452,1977-07-01,334.89
454,1977-08-01,332.56
456,1977-09-01,331.29
458,1977-10-01,331.28
460,1977-11-01,332.46
462,1977-12-01,333.6
464,1978-01-01,334.94
466,1978-02-01,335.26
468,1978-03-01,336.66
470,1978-04-01,337.69
472,1978-05-01,338.02
474,1978-06-01,338.01
476,1978-07-01,336.5
478,1978-08-01,334.42
480,1978-09-01,332.36
482,1978-10-01,332.45
484,1978-11-01,333.76
